"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"219759_at"	"LRAP"	19.7815317233333	19.1354616766667	18.1717232366667	21.0611589033333
"219760_at"	"LIN7B"	28.0628594366667	30.2170370966667	31.54096103	32.47918032
"219761_at"	"CLEC1A"	18.9653943466667	19.5705399366667	21.4622779133333	20.5978631566667
"219762_s_at"	"RPL36"	6123.220278	6327.46199533333	7347.38414266667	6145.21886433333
"219763_at"	"DENND1A"	148.140851166667	145.365533133333	177.8465027	139.040573233333
"219764_at"	"FZD10"	19.6690491566667	20.1943778366667	20.1996075766667	20.8175852333333
"219765_at"	"ZNF329"	57.2399080833333	65.4990909933333	57.4966251733333	63.7654204333333
"219766_at"	"MGC4093"	44.6994991833333	54.7819992166667	62.78208643	49.56498946
"219767_s_at"	"CRYZL1"	736.3886899	706.996091666667	763.465724033333	767.219694166667
"219768_at"	"VTCN1"	18.1847467166667	18.8591264533333	17.51511175	18.5095839266667
"219769_at"	"INCENP"	41.6123625566667	45.9389145666667	41.2790586733333	35.40816901
"219770_at"	"GTDC1"	430.3816669	372.627204266667	368.290076333333	355.448255233333
"219771_at"	"FLJ20298"	23.3789876266667	22.73291287	24.5237405133333	22.5192936633333
"219772_s_at"	"SMPX"	22.9118438466667	23.1216064933333	23.3468697533333	24.92774709
"219773_at"	"NOX4"	20.18650568	20.7026797833333	21.5637515966667	20.0789314833333
"219774_at"	"FLJ10996"	80.8457094	82.8959577233333	85.7876797033333	70.1102589533333
"219775_s_at"	"LMAN1L /// CPLX3"	24.80105606	24.9894352933333	26.2936507233333	25.9517474933333
"219776_s_at"	"FLJ11125"	22.4095020166667	21.1829538766667	21.53771428	20.9309886933333
"219777_at"	"GIMAP6"	100.32582442	104.5609041	100.909554113333	90.04559386
"219778_at"	"ZFPM2"	18.2702176033333	17.05225879	18.67829651	18.7850656966667
